product_category_name_english,avg_review_score,total_orders
agro_industry_and_commerce,4.087378640776699,177
air_conditioning,4.052816901408451,242
art,4.082051282051282,193
arts_and_craftmanship,4.125,23
audio,3.83008356545961,345
auto,4.116346854505708,3792
baby,4.079204583754635,2787
bed_bath_table,3.9209831588529815,9177
books_general_interest,4.512195121951219,492
books_imported,4.508771929824562,50
books_technical,4.393939393939394,255
cds_dvds_musicals,4.642857142857143,12
christmas_supplies,4.06993006993007,123
cine_photo,4.295774647887324,63
computers,4.219387755102041,174
computers_accessories,3.9847497393117832,6499
consoles_games,4.137962962962963,1009
construction_tools_construction,4.090909090909091,731
construction_tools_lights,4.085324232081911,239
construction_tools_safety,3.967032967032967,158
cool_stuff,4.194699837750135,3531
costruction_tools_garden,4.1239316239316235,190
costruction_tools_tools,4.444444444444445,94
diapers_and_hygiene,3.3783783783783785,25
drinks,4.1287671232876715,287
dvds_blu_ray,4.180327868852459,56
electronics,4.067502766506824,2498
fashio_female_clothing,3.9565217391304346,36
fashion_bags_accessories,4.192577733199599,1811
fashion_childrens_clothes,5.0,7
fashion_male_clothing,3.7580645161290325,105
fashion_shoes,4.28515625,231
fashion_sport,4.366666666666666,26
fashion_underwear_beach,4.0476190476190474,116
fixed_telephony,3.758893280632411,209
flowers,4.419354838709677,28
food,4.262833675564682,437
food_drink,4.369003690036901,221
furniture_bedroom,4.252427184466019,90
furniture_decor,3.9501164358377254,6260
furniture_living_room,3.937246963562753,409
furniture_mattress_and_upholstery,3.891891891891892,37
garden_tools,4.081335213916314,3428
health_beauty,4.19077834179357,8601
home_appliances,4.225602027883396,744
home_appliances_2,4.1594827586206895,226
home_comfort_2,3.6296296296296298,23
home_confort,3.8511627906976744,390
home_construction,3.959527824620573,481
housewares,4.1084070796460175,5709
industry_commerce_and_business,4.129277566539924,230
kitchen_dining_laundry_garden_furniture,4.033088235294118,239
la_cuisine,4.0,12
luggage_accessories,4.352283317800559,1015
market_place,4.072607260726072,272
music,4.2105263157894735,38
musical_instruments,4.222910216718266,605
office_furniture,3.5174278846153846,1244
party_supplies,3.8333333333333335,38
perfumery,4.21561004784689,3076
pet_shop,4.217527386541471,1680
security_and_services,2.5,2
signaling_and_security,4.091836734693878,137
small_appliances,4.225266362252664,604
small_appliances_home_oven_and_coffee,4.438356164383562,72
sports_leisure,4.166429587482219,7486
stationery,4.244001626677512,2251
tablets_printing_image,4.1234567901234565,77
telephony,3.9950090744101634,4069
toys,4.207886199151485,3774
unknown,3.9337620578778134,1402
watches_gifts,4.071931330472103,5454
